
2025/01/03 (04:10:44) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (14:17:33) | ===> btop++ v.1.4.0
2025/01/03 (14:17:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (14:17:33) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (16:15:37) | ===> btop++ v.1.4.0
2025/01/03 (16:15:37) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (16:15:37) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (16:21:13) | ===> btop++ v.1.4.0
2025/01/03 (16:21:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (16:21:13) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (16:41:05) | ===> btop++ v.1.4.0
2025/01/03 (16:41:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (16:41:05) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (16:53:43) | ===> btop++ v.1.4.0
2025/01/03 (16:53:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (16:53:43) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (17:21:18) | ===> btop++ v.1.4.0
2025/01/03 (17:21:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (17:21:18) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (20:48:58) | ===> btop++ v.1.4.0
2025/01/03 (20:48:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (20:48:58) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (22:01:48) | ===> btop++ v.1.4.0
2025/01/03 (22:01:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (22:01:48) | ERROR: Invalid size of hex value: 00000000

2025/01/03 (23:02:45) | ===> btop++ v.1.4.0
2025/01/03 (23:02:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/03 (23:02:45) | ERROR: Invalid size of hex value: 00000000

2025/01/15 (16:41:31) | ===> btop++ v.1.4.0
2025/01/15 (16:41:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (16:41:31) | ERROR: Invalid size of hex value: 00000000

2025/01/21 (16:57:40) | ===> btop++ v.1.4.0
2025/01/21 (16:57:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/21 (16:57:40) | ERROR: Invalid size of hex value: 00000000

2025/01/26 (18:01:15) | ===> btop++ v.1.4.0
2025/01/26 (18:01:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/26 (18:01:15) | ERROR: Invalid size of hex value: 00000000

2025/01/26 (20:11:26) | ===> btop++ v.1.4.0
2025/01/26 (20:11:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/26 (20:11:26) | ERROR: Invalid size of hex value: 00000000

2025/01/31 (22:29:22) | ===> btop++ v.1.4.0
2025/01/31 (22:29:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/31 (22:29:22) | ERROR: Invalid size of hex value: 00000000

2025/02/02 (23:18:04) | ===> btop++ v.1.4.0
2025/02/02 (23:18:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/02 (23:18:04) | ERROR: Invalid size of hex value: 00000000

2025/02/03 (21:50:38) | ===> btop++ v.1.4.0
2025/02/03 (21:50:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/03 (21:50:38) | ERROR: Invalid size of hex value: 00000000

2025/02/03 (22:33:05) | ===> btop++ v.1.4.0
2025/02/03 (22:33:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/03 (22:33:05) | ERROR: Invalid size of hex value: 00000000

2025/02/04 (01:02:23) | ===> btop++ v.1.4.0
2025/02/04 (01:02:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/04 (01:02:23) | ERROR: Invalid size of hex value: 00000000

2025/02/04 (01:05:56) | ===> btop++ v.1.4.0
2025/02/04 (01:05:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/04 (01:05:56) | ERROR: Invalid size of hex value: 00000000

2025/02/04 (17:49:41) | ===> btop++ v.1.4.0
2025/02/04 (17:49:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/04 (17:49:41) | ERROR: Invalid size of hex value: 00000000

2025/02/04 (17:54:36) | ===> btop++ v.1.4.0
2025/02/04 (17:54:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/04 (17:54:36) | ERROR: Invalid size of hex value: 00000000

2025/02/05 (00:19:56) | ===> btop++ v.1.4.0
2025/02/05 (00:19:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/05 (00:19:56) | ERROR: Invalid size of hex value: 00000000

2025/02/05 (01:53:25) | ===> btop++ v.1.4.0
2025/02/05 (01:53:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (04:08:55) | ===> btop++ v.1.4.0
2025/02/05 (04:08:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (14:38:55) | ===> btop++ v.1.4.0
2025/02/21 (14:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (03:05:38) | ===> btop++ v.1.4.0
2025/02/22 (03:05:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (04:10:02) | ===> btop++ v.1.4.0
2025/02/22 (04:10:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (02:23:05) | ===> btop++ v.1.4.0
2025/02/23 (02:23:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (22:53:17) | ===> btop++ v.1.4.0
2025/02/27 (22:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:12:49) | ===> btop++ v.1.4.0
2025/03/02 (22:12:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:14:41) | ===> btop++ v.1.4.0
2025/03/02 (22:14:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (14:33:48) | ===> btop++ v.1.4.0
2025/03/14 (14:33:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (18:04:40) | ===> btop++ v.1.4.0
2025/03/29 (18:04:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (23:43:42) | ===> btop++ v.1.4.0
2025/04/04 (23:43:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (22:54:17) | ===> btop++ v.1.4.0
2025/04/17 (22:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (22:54:44) | ===> btop++ v.1.4.0
2025/04/17 (22:54:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (22:56:27) | ===> btop++ v.1.4.0
2025/04/17 (22:56:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (22:58:02) | ===> btop++ v.1.4.0
2025/04/17 (22:58:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (02:46:12) | ===> btop++ v.1.4.0
2025/04/18 (02:46:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (19:36:05) | ===> btop++ v.1.4.0
2025/04/19 (19:36:05) | WARNING: Intel GPU: Failed to initialize PMU
